timestamp	step	train
1646612307660		OrderedDict([('mlogloss', [1.546616, 1.354978])])
1646612307662		OrderedDict([('mlogloss', [1.546616, 1.354978, 1.198828])])
1646612307664		OrderedDict([('mlogloss', [1.546616, 1.354978, 1.198828, 1.067345])])
1646612307666		OrderedDict([('mlogloss', [1.546616, 1.354978, 1.198828, 1.067345, 0.955641])])
1646612307668		OrderedDict([('mlogloss', [1.546616, 1.354978, 1.198828, 1.067345, 0.955641, 0.859766])])
1646612307670		OrderedDict([('mlogloss', [1.546616, 1.354978, 1.198828, 1.067345, 0.955641, 0.859766, 0.77581])])
1646612307671		OrderedDict([('mlogloss', [1.546616, 1.354978, 1.198828, 1.067345, 0.955641, 0.859766, 0.77581, 0.702023])])
1646612307673		OrderedDict([('mlogloss', [1.546616, 1.354978, 1.198828, 1.067345, 0.955641, 0.859766, 0.77581, 0.702023, 0.637269])])
1646612307676		OrderedDict([('mlogloss', [1.546616, 1.354978, 1.198828, 1.067345, 0.955641, 0.859766, 0.77581, 0.702023, 0.637269, 0.579516])])
1646612307678		OrderedDict([('mlogloss', [1.546616, 1.354978, 1.198828, 1.067345, 0.955641, 0.859766, 0.77581, 0.702023, 0.637269, 0.579516, 0.528127])])
1646612307680		OrderedDict([('mlogloss', [1.546616, 1.354978, 1.198828, 1.067345, 0.955641, 0.859766, 0.77581, 0.702023, 0.637269, 0.579516, 0.528127, 0.482108])])
1646612307682		OrderedDict([('mlogloss', [1.546616, 1.354978, 1.198828, 1.067345, 0.955641, 0.859766, 0.77581, 0.702023, 0.637269, 0.579516, 0.528127, 0.482108, 0.440903])])
1646612307684		OrderedDict([('mlogloss', [1.546616, 1.354978, 1.198828, 1.067345, 0.955641, 0.859766, 0.77581, 0.702023, 0.637269, 0.579516, 0.528127, 0.482108, 0.440903, 0.40351])])
1646612307686		OrderedDict([('mlogloss', [1.546616, 1.354978, 1.198828, 1.067345, 0.955641, 0.859766, 0.77581, 0.702023, 0.637269, 0.579516, 0.528127, 0.482108, 0.440903, 0.40351, 0.36928])])
1646612307687		OrderedDict([('mlogloss', [1.546616, 1.354978, 1.198828, 1.067345, 0.955641, 0.859766, 0.77581, 0.702023, 0.637269, 0.579516, 0.528127, 0.482108, 0.440903, 0.40351, 0.36928, 0.338535])])
1646612307689		OrderedDict([('mlogloss', [1.546616, 1.354978, 1.198828, 1.067345, 0.955641, 0.859766, 0.77581, 0.702023, 0.637269, 0.579516, 0.528127, 0.482108, 0.440903, 0.40351, 0.36928, 0.338535, 0.310537])])
1646612307692		OrderedDict([('mlogloss', [1.546616, 1.354978, 1.198828, 1.067345, 0.955641, 0.859766, 0.77581, 0.702023, 0.637269, 0.579516, 0.528127, 0.482108, 0.440903, 0.40351, 0.36928, 0.338535, 0.310537, 0.2852])])
1646612307694		OrderedDict([('mlogloss', [1.546616, 1.354978, 1.198828, 1.067345, 0.955641, 0.859766, 0.77581, 0.702023, 0.637269, 0.579516, 0.528127, 0.482108, 0.440903, 0.40351, 0.36928, 0.338535, 0.310537, 0.2852, 0.262091])])
1646612307696		OrderedDict([('mlogloss', [1.546616, 1.354978, 1.198828, 1.067345, 0.955641, 0.859766, 0.77581, 0.702023, 0.637269, 0.579516, 0.528127, 0.482108, 0.440903, 0.40351, 0.36928, 0.338535, 0.310537, 0.2852, 0.262091, 0.2413])])
1646612307699		OrderedDict([('mlogloss', [1.546616, 1.354978, 1.198828, 1.067345, 0.955641, 0.859766, 0.77581, 0.702023, 0.637269, 0.579516, 0.528127, 0.482108, 0.440903, 0.40351, 0.36928, 0.338535, 0.310537, 0.2852, 0.262091, 0.2413, 0.222271])])
1646612307701		OrderedDict([('mlogloss', [1.546616, 1.354978, 1.198828, 1.067345, 0.955641, 0.859766, 0.77581, 0.702023, 0.637269, 0.579516, 0.528127, 0.482108, 0.440903, 0.40351, 0.36928, 0.338535, 0.310537, 0.2852, 0.262091, 0.2413, 0.222271, 0.205437])])
1646612307703		OrderedDict([('mlogloss', [1.546616, 1.354978, 1.198828, 1.067345, 0.955641, 0.859766, 0.77581, 0.702023, 0.637269, 0.579516, 0.528127, 0.482108, 0.440903, 0.40351, 0.36928, 0.338535, 0.310537, 0.2852, 0.262091, 0.2413, 0.222271, 0.205437, 0.190105])])
1646612307705		OrderedDict([('mlogloss', [1.546616, 1.354978, 1.198828, 1.067345, 0.955641, 0.859766, 0.77581, 0.702023, 0.637269, 0.579516, 0.528127, 0.482108, 0.440903, 0.40351, 0.36928, 0.338535, 0.310537, 0.2852, 0.262091, 0.2413, 0.222271, 0.205437, 0.190105, 0.176284])])
1646612307707		OrderedDict([('mlogloss', [1.546616, 1.354978, 1.198828, 1.067345, 0.955641, 0.859766, 0.77581, 0.702023, 0.637269, 0.579516, 0.528127, 0.482108, 0.440903, 0.40351, 0.36928, 0.338535, 0.310537, 0.2852, 0.262091, 0.2413, 0.222271, 0.205437, 0.190105, 0.176284, 0.163558])])
1646612307710		OrderedDict([('mlogloss', [1.546616, 1.354978, 1.198828, 1.067345, 0.955641, 0.859766, 0.77581, 0.702023, 0.637269, 0.579516, 0.528127, 0.482108, 0.440903, 0.40351, 0.36928, 0.338535, 0.310537, 0.2852, 0.262091, 0.2413, 0.222271, 0.205437, 0.190105, 0.176284, 0.163558, 0.15173])])
1646612307712		OrderedDict([('mlogloss', [1.546616, 1.354978, 1.198828, 1.067345, 0.955641, 0.859766, 0.77581, 0.702023, 0.637269, 0.579516, 0.528127, 0.482108, 0.440903, 0.40351, 0.36928, 0.338535, 0.310537, 0.2852, 0.262091, 0.2413, 0.222271, 0.205437, 0.190105, 0.176284, 0.163558, 0.15173, 0.141166])])
1646612307715		OrderedDict([('mlogloss', [1.546616, 1.354978, 1.198828, 1.067345, 0.955641, 0.859766, 0.77581, 0.702023, 0.637269, 0.579516, 0.528127, 0.482108, 0.440903, 0.40351, 0.36928, 0.338535, 0.310537, 0.2852, 0.262091, 0.2413, 0.222271, 0.205437, 0.190105, 0.176284, 0.163558, 0.15173, 0.141166, 0.131271])])
1646612307716		OrderedDict([('mlogloss', [1.546616, 1.354978, 1.198828, 1.067345, 0.955641, 0.859766, 0.77581, 0.702023, 0.637269, 0.579516, 0.528127, 0.482108, 0.440903, 0.40351, 0.36928, 0.338535, 0.310537, 0.2852, 0.262091, 0.2413, 0.222271, 0.205437, 0.190105, 0.176284, 0.163558, 0.15173, 0.141166, 0.131271, 0.12246])])
